"BehaviorSpace results (NetLogo 5.0RC6)"
"TransportationGraph.nlogo"
"ALL ERP ON-Thriftiness"
"04/02/2012 12:34:07:323 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-29","29","-22","22"
"[run number]","var-thrift","mid-thrift","[step]","total-wait-count"
"2","0.1","0.5","1000","11048"
"1","0.1","0.2","1000","11067"
"3","0.1","1","1000","10943"
"4","0.2","0.2","1000","11085"
"5","0.2","0.5","1000","10926"
"6","0.2","1","1000","10967"
"7","0.30000000000000004","0.2","1000","11177"
"9","0.30000000000000004","1","1000","10904"
"8","0.30000000000000004","0.5","1000","10987"
"10","0.4","0.2","1000","11144"
"11","0.4","0.5","1000","11001"
"12","0.4","1","1000","10910"
"13","0.5","0.2","1000","11120"
"14","0.5","0.5","1000","11011"
"16","0.6","0.2","1000","10963"
"15","0.5","1","1000","11023"
"17","0.6","0.5","1000","10987"
"18","0.6","1","1000","10923"
"19","0.7000000000000001","0.2","1000","11027"
"20","0.7000000000000001","0.5","1000","11004"
"21","0.7000000000000001","1","1000","10962"
"23","0.8","0.5","1000","11073"
"22","0.8","0.2","1000","11031"
"24","0.8","1","1000","11027"
"25","0.9","0.2","1000","11028"
"26","0.9","0.5","1000","11097"
"27","0.9","1","1000","10996"
"28","1","0.2","1000","11022"
"30","1","1","1000","11067"
"29","1","0.5","1000","11123"
