"BehaviorSpace results (NetLogo 5.0RC6)"
"TransportationGraph.nlogo"
"ALL ERPs ON"
"04/02/2012 12:21:36:814 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-29","29","-22","22"
"[run number]","var-urgent","mid-urgent","[step]","total-wait-count"
"2","0.1","0.5","1000","5091"
"3","0.1","1","1000","5360"
"4","0.2","0.2","1000","5115"
"5","0.2","0.5","1000","5088"
"6","0.2","1","1000","5261"
"7","0.30000000000000004","0.2","1000","5178"
"8","0.30000000000000004","0.5","1000","5181"
"9","0.30000000000000004","1","1000","5318"
"1","0.1","0.2","1000","5094"
"10","0.4","0.2","1000","5068"
"12","0.4","1","1000","5140"
"13","0.5","0.2","1000","5063"
"14","0.5","0.5","1000","5127"
"15","0.5","1","1000","5286"
"16","0.6","0.2","1000","5115"
"17","0.6","0.5","1000","5203"
"18","0.6","1","1000","5243"
"19","0.7000000000000001","0.2","1000","5140"
"20","0.7000000000000001","0.5","1000","5170"
"11","0.4","0.5","1000","5153"
"21","0.7000000000000001","1","1000","5120"
"23","0.8","0.5","1000","5215"
"24","0.8","1","1000","5175"
"25","0.9","0.2","1000","5067"
"26","0.9","0.5","1000","5160"
"27","0.9","1","1000","5093"
"28","1","0.2","1000","5135"
"29","1","0.5","1000","5105"
"30","1","1","1000","5104"
"22","0.8","0.2","1000","5242"
