"BehaviorSpace results (NetLogo 5.0RC6)"
"TransportationGraph.nlogo"
"ERP1 ON"
"04/02/2012 12:11:41:480 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-29","29","-22","22"
"[run number]","var-urgent","mid-urgent","[step]","total-wait-count"
"2","0.1","0.5","1000","5285"
"3","0.1","1","1000","5426"
"4","0.2","0.2","1000","5126"
"5","0.2","0.5","1000","5253"
"6","0.2","1","1000","5324"
"7","0.30000000000000004","0.2","1000","5126"
"8","0.30000000000000004","0.5","1000","5205"
"9","0.30000000000000004","1","1000","5351"
"1","0.1","0.2","1000","5101"
"10","0.4","0.2","1000","5108"
"12","0.4","1","1000","5393"
"13","0.5","0.2","1000","5218"
"14","0.5","0.5","1000","5334"
"15","0.5","1","1000","5250"
"16","0.6","0.2","1000","5197"
"17","0.6","0.5","1000","5224"
"18","0.6","1","1000","5188"
"19","0.7000000000000001","0.2","1000","5293"
"20","0.7000000000000001","0.5","1000","5267"
"11","0.4","0.5","1000","5283"
"21","0.7000000000000001","1","1000","5287"
"23","0.8","0.5","1000","5159"
"24","0.8","1","1000","5228"
"25","0.9","0.2","1000","5246"
"26","0.9","0.5","1000","5098"
"27","0.9","1","1000","5289"
"28","1","0.2","1000","5175"
"29","1","0.5","1000","5192"
"30","1","1","1000","5253"
"22","0.8","0.2","1000","5258"
