"BehaviorSpace results (NetLogo 5.0RC6)"
"TransportationGraph.nlogo"
"ERP1&2 ON- Thriftiness"
"04/02/2012 12:48:32:795 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-29","29","-22","22"
"[run number]","var-thrift","mid-thrift","[step]","total-wait-count"
"2","0.1","0.5","1000","11147"
"1","0.1","0.2","1000","11055"
"3","0.1","1","1000","10937"
"4","0.2","0.2","1000","11165"
"5","0.2","0.5","1000","11119"
"6","0.2","1","1000","10997"
"7","0.30000000000000004","0.2","1000","11247"
"9","0.30000000000000004","1","1000","10986"
"8","0.30000000000000004","0.5","1000","11031"
"10","0.4","0.2","1000","11172"
"11","0.4","0.5","1000","10925"
"12","0.4","1","1000","11086"
"13","0.5","0.2","1000","11064"
"14","0.5","0.5","1000","10973"
"16","0.6","0.2","1000","11044"
"15","0.5","1","1000","10952"
"17","0.6","0.5","1000","11122"
"18","0.6","1","1000","11052"
"19","0.7000000000000001","0.2","1000","11148"
"20","0.7000000000000001","0.5","1000","11087"
"21","0.7000000000000001","1","1000","10969"
"23","0.8","0.5","1000","11045"
"22","0.8","0.2","1000","11163"
"24","0.8","1","1000","11033"
"25","0.9","0.2","1000","11111"
"26","0.9","0.5","1000","11165"
"27","0.9","1","1000","11067"
"28","1","0.2","1000","11082"
"30","1","1","1000","10995"
"29","1","0.5","1000","11108"
