"BehaviorSpace results (NetLogo 5.0RC6)"
"TransportationGraph.nlogo"
"ERP1,2,3,4-Thriftiness"
"04/02/2012 12:53:32:948 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-29","29","-22","22"
"[run number]","var-thrift","mid-thrift","[step]","total-wait-count"
"2","0.1","0.5","1000","11018"
"1","0.1","0.2","1000","11113"
"3","0.1","1","1000","10971"
"4","0.2","0.2","1000","11105"
"5","0.2","0.5","1000","11085"
"6","0.2","1","1000","11051"
"7","0.30000000000000004","0.2","1000","11027"
"9","0.30000000000000004","1","1000","11019"
"8","0.30000000000000004","0.5","1000","11039"
"10","0.4","0.2","1000","11092"
"11","0.4","0.5","1000","11104"
"12","0.4","1","1000","10941"
"13","0.5","0.2","1000","11097"
"14","0.5","0.5","1000","11111"
"16","0.6","0.2","1000","11058"
"15","0.5","1","1000","11052"
"17","0.6","0.5","1000","11074"
"18","0.6","1","1000","11012"
"19","0.7000000000000001","0.2","1000","11186"
"20","0.7000000000000001","0.5","1000","11097"
"21","0.7000000000000001","1","1000","10967"
"23","0.8","0.5","1000","11218"
"22","0.8","0.2","1000","11095"
"24","0.8","1","1000","11008"
"25","0.9","0.2","1000","11116"
"26","0.9","0.5","1000","10966"
"27","0.9","1","1000","11046"
"28","1","0.2","1000","11164"
"30","1","1","1000","11066"
"29","1","0.5","1000","11166"
