"BehaviorSpace results (NetLogo 5.0RC6)"
"TransportationGraph.nlogo"
"ERP1,2,3-Thriftiness"
"04/02/2012 12:47:22:221 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-29","29","-22","22"
"[run number]","var-thrift","mid-thrift","[step]","total-wait-count"
"2","0.1","0.5","1000","11096"
"1","0.1","0.2","1000","11039"
"3","0.1","1","1000","10882"
"4","0.2","0.2","1000","11092"
"5","0.2","0.5","1000","11151"
"7","0.30000000000000004","0.2","1000","11131"
"6","0.2","1","1000","10955"
"8","0.30000000000000004","0.5","1000","11097"
"9","0.30000000000000004","1","1000","11121"
"10","0.4","0.2","1000","11197"
"11","0.4","0.5","1000","10989"
"12","0.4","1","1000","10994"
"14","0.5","0.5","1000","11078"
"13","0.5","0.2","1000","11059"
"15","0.5","1","1000","10934"
"16","0.6","0.2","1000","11150"
"17","0.6","0.5","1000","11096"
"18","0.6","1","1000","11020"
"19","0.7000000000000001","0.2","1000","11067"
"21","0.7000000000000001","1","1000","11026"
"20","0.7000000000000001","0.5","1000","11055"
"22","0.8","0.2","1000","11010"
"23","0.8","0.5","1000","11101"
"24","0.8","1","1000","11054"
"25","0.9","0.2","1000","11140"
"26","0.9","0.5","1000","11207"
"28","1","0.2","1000","11031"
"27","0.9","1","1000","11068"
"29","1","0.5","1000","11051"
"30","1","1","1000","11145"
