"BehaviorSpace results (NetLogo 5.0RC6)"
"TransportationGraph.nlogo"
"Only ERP1 ON-Thriftiness-routes"
"04/02/2012 14:00:38:552 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-29","29","-22","22"
"[run number]","var-thrift","mid-thrift","[step]","route1","route2","route3","route4","route5"
"2","0.1","0.5","1000","104","62","2","0","32"
"1","0.1","0.2","1000","104","63","1","0","32"
"3","0.1","1","1000","104","49","11","10","26"
"5","0.2","0.5","1000","104","63","1","0","32"
"4","0.2","0.2","1000","104","62","2","3","29"
"6","0.2","1","1000","104","53","11","4","28"
"7","0.30000000000000004","0.2","1000","104","63","1","1","31"
"8","0.30000000000000004","0.5","1000","104","61","3","1","31"
"10","0.4","0.2","1000","104","62","2","0","32"
"9","0.30000000000000004","1","1000","104","59","5","8","24"
"11","0.4","0.5","1000","104","62","2","2","30"
"12","0.4","1","1000","104","61","3","2","30"
"13","0.5","0.2","1000","104","63","1","2","30"
"15","0.5","1","1000","104","61","2","4","29"
"14","0.5","0.5","1000","104","61","3","6","26"
"16","0.6","0.2","1000","104","64","0","1","31"
"18","0.6","1","1000","104","60","4","3","29"
"17","0.6","0.5","1000","104","61","3","1","31"
"19","0.7000000000000001","0.2","1000","104","64","0","2","30"
"20","0.7000000000000001","0.5","1000","104","60","4","4","28"
"21","0.7000000000000001","1","1000","104","61","3","2","30"
"23","0.8","0.5","1000","104","62","2","3","29"
"22","0.8","0.2","1000","104","62","2","3","29"
"24","0.8","1","1000","104","62","2","2","30"
"26","0.9","0.5","1000","104","60","4","1","31"
"25","0.9","0.2","1000","104","60","4","2","30"
"27","0.9","1","1000","104","62","2","2","30"
"28","1","0.2","1000","104","63","1","5","27"
"29","1","0.5","1000","104","63","1","1","31"
"30","1","1","1000","104","61","3","3","29"
