"BehaviorSpace results (NetLogo 5.0RC6)"
"TransportationGraph.nlogo"
"Only ERP1 ON-Thriftiness"
"04/02/2012 12:39:25:969 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-29","29","-22","22"
"[run number]","var-thrift","mid-thrift","[step]","total-wait-count"
"2","0.1","0.5","1000","11167"
"1","0.1","0.2","1000","11181"
"3","0.1","1","1000","11047"
"4","0.2","0.2","1000","11048"
"5","0.2","0.5","1000","11309"
"6","0.2","1","1000","11147"
"7","0.30000000000000004","0.2","1000","11102"
"9","0.30000000000000004","1","1000","11176"
"8","0.30000000000000004","0.5","1000","11203"
"10","0.4","0.2","1000","11242"
"11","0.4","0.5","1000","11122"
"12","0.4","1","1000","11237"
"13","0.5","0.2","1000","11236"
"14","0.5","0.5","1000","11112"
"16","0.6","0.2","1000","11015"
"15","0.5","1","1000","11163"
"17","0.6","0.5","1000","11158"
"18","0.6","1","1000","11257"
"19","0.7000000000000001","0.2","1000","11198"
"20","0.7000000000000001","0.5","1000","11078"
"21","0.7000000000000001","1","1000","11120"
"23","0.8","0.5","1000","11176"
"22","0.8","0.2","1000","11205"
"24","0.8","1","1000","11178"
"25","0.9","0.2","1000","11034"
"26","0.9","0.5","1000","11207"
"27","0.9","1","1000","11024"
"28","1","0.2","1000","11285"
"30","1","1","1000","11135"
"29","1","0.5","1000","11169"
