"BehaviorSpace results (NetLogo 5.0RC6)"
"TransportationGraph.nlogo"
"Thriftiness and Urgency - ALL ERP on"
"04/02/2012 12:26:29:166 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-29","29","-22","22"
"[run number]","var-urgent","mid-urgent","var-thrift","mid-thrift","[step]","total-wait-count"
"2","0.1","0.2","0.1","0.5","100","1282"
"3","0.1","0.2","0.1","1","100","1279"
"4","0.1","0.2","0.2","0.2","100","1298"
"5","0.1","0.2","0.2","0.5","100","1281"
"6","0.1","0.2","0.2","1","100","1277"
"7","0.1","0.2","0.30000000000000004","0.2","100","1284"
"1","0.1","0.2","0.1","0.2","100","1279"
"8","0.1","0.2","0.30000000000000004","0.5","100","1283"
"10","0.1","0.2","0.4","0.2","100","1287"
"11","0.1","0.2","0.4","0.5","100","1267"
"12","0.1","0.2","0.4","1","100","1275"
"9","0.1","0.2","0.30000000000000004","1","100","1290"
"13","0.1","0.2","0.5","0.2","100","1273"
"15","0.1","0.2","0.5","1","100","1276"
"16","0.1","0.2","0.6","0.2","100","1295"
"17","0.1","0.2","0.6","0.5","100","1278"
"14","0.1","0.2","0.5","0.5","100","1296"
"18","0.1","0.2","0.6","1","100","1313"
"20","0.1","0.2","0.7000000000000001","0.5","100","1283"
"21","0.1","0.2","0.7000000000000001","1","100","1296"
"22","0.1","0.2","0.8","0.2","100","1292"
"23","0.1","0.2","0.8","0.5","100","1292"
"19","0.1","0.2","0.7000000000000001","0.2","100","1281"
"24","0.1","0.2","0.8","1","100","1282"
"26","0.1","0.2","0.9","0.5","100","1299"
"27","0.1","0.2","0.9","1","100","1307"
"28","0.1","0.2","1","0.2","100","1306"
"29","0.1","0.2","1","0.5","100","1315"
"25","0.1","0.2","0.9","0.2","100","1279"
"30","0.1","0.2","1","1","100","1282"
"32","0.1","0.5","0.1","0.5","100","1290"
"33","0.1","0.5","0.1","1","100","1277"
"34","0.1","0.5","0.2","0.2","100","1292"
"35","0.1","0.5","0.2","0.5","100","1296"
"31","0.1","0.5","0.1","0.2","100","1290"
"36","0.1","0.5","0.2","1","100","1290"
"38","0.1","0.5","0.30000000000000004","0.5","100","1285"
"39","0.1","0.5","0.30000000000000004","1","100","1288"
"40","0.1","0.5","0.4","0.2","100","1301"
"41","0.1","0.5","0.4","0.5","100","1280"
"37","0.1","0.5","0.30000000000000004","0.2","100","1287"
"42","0.1","0.5","0.4","1","100","1277"
"44","0.1","0.5","0.5","0.5","100","1295"
"45","0.1","0.5","0.5","1","100","1300"
"46","0.1","0.5","0.6","0.2","100","1290"
"43","0.1","0.5","0.5","0.2","100","1291"
"47","0.1","0.5","0.6","0.5","100","1315"
"49","0.1","0.5","0.7000000000000001","0.2","100","1295"
"50","0.1","0.5","0.7000000000000001","0.5","100","1297"
"51","0.1","0.5","0.7000000000000001","1","100","1285"
"52","0.1","0.5","0.8","0.2","100","1294"
"48","0.1","0.5","0.6","1","100","1305"
"53","0.1","0.5","0.8","0.5","100","1277"
"55","0.1","0.5","0.9","0.2","100","1284"
"56","0.1","0.5","0.9","0.5","100","1295"
"57","0.1","0.5","0.9","1","100","1280"
"58","0.1","0.5","1","0.2","100","1277"
"54","0.1","0.5","0.8","1","100","1298"
"59","0.1","0.5","1","0.5","100","1278"
"61","0.1","1","0.1","0.2","100","1317"
"62","0.1","1","0.1","0.5","100","1325"
"63","0.1","1","0.1","1","100","1288"
"64","0.1","1","0.2","0.2","100","1327"
"60","0.1","0.5","1","1","100","1298"
"65","0.1","1","0.2","0.5","100","1310"
"67","0.1","1","0.30000000000000004","0.2","100","1322"
"68","0.1","1","0.30000000000000004","0.5","100","1301"
"69","0.1","1","0.30000000000000004","1","100","1325"
"66","0.1","1","0.2","1","100","1318"
"70","0.1","1","0.4","0.2","100","1327"
"72","0.1","1","0.4","1","100","1309"
"73","0.1","1","0.5","0.2","100","1308"
"74","0.1","1","0.5","0.5","100","1303"
"75","0.1","1","0.5","1","100","1291"
"71","0.1","1","0.4","0.5","100","1306"
"76","0.1","1","0.6","0.2","100","1319"
"78","0.1","1","0.6","1","100","1298"
"79","0.1","1","0.7000000000000001","0.2","100","1309"
"80","0.1","1","0.7000000000000001","0.5","100","1296"
"81","0.1","1","0.7000000000000001","1","100","1313"
"77","0.1","1","0.6","0.5","100","1297"
"82","0.1","1","0.8","0.2","100","1309"
"84","0.1","1","0.8","1","100","1283"
"85","0.1","1","0.9","0.2","100","1324"
"86","0.1","1","0.9","0.5","100","1330"
"87","0.1","1","0.9","1","100","1303"
"83","0.1","1","0.8","0.5","100","1299"
"88","0.1","1","1","0.2","100","1326"
"90","0.1","1","1","1","100","1298"
"91","0.2","0.2","0.1","0.2","100","1273"
"92","0.2","0.2","0.1","0.5","100","1281"
"93","0.2","0.2","0.1","1","100","1288"
"89","0.1","1","1","0.5","100","1322"
"94","0.2","0.2","0.2","0.2","100","1314"
"96","0.2","0.2","0.2","1","100","1294"
"97","0.2","0.2","0.30000000000000004","0.2","100","1286"
"98","0.2","0.2","0.30000000000000004","0.5","100","1278"
"99","0.2","0.2","0.30000000000000004","1","100","1282"
"95","0.2","0.2","0.2","0.5","100","1277"
"100","0.2","0.2","0.4","0.2","100","1292"
"102","0.2","0.2","0.4","1","100","1325"
"103","0.2","0.2","0.5","0.2","100","1298"
"104","0.2","0.2","0.5","0.5","100","1300"
"105","0.2","0.2","0.5","1","100","1293"
"101","0.2","0.2","0.4","0.5","100","1278"
"106","0.2","0.2","0.6","0.2","100","1278"
"108","0.2","0.2","0.6","1","100","1305"
"109","0.2","0.2","0.7000000000000001","0.2","100","1280"
"110","0.2","0.2","0.7000000000000001","0.5","100","1268"
"111","0.2","0.2","0.7000000000000001","1","100","1276"
"107","0.2","0.2","0.6","0.5","100","1288"
"112","0.2","0.2","0.8","0.2","100","1297"
