"BehaviorSpace results (NetLogo 5.0RC6)"
"TransportationGraph.nlogo"
"UrgencyERP1"
"04/07/2012 15:42:26:602 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-29","29","-22","22"
"[run number]","mid-urgent","[step]","route1","route2","route3","route4","route5"
"2","0.2","100","24","18","13","9","12"
"1","0.1","100","43","13","7","7","10"
"3","0.30000000000000004","100","29","16","15","3","11"
"5","0.5","100","15","33","8","6","11"
"4","0.4","100","29","22","11","6","11"
"6","0.6","100","17","32","9","3","15"
"7","0.7000000000000001","100","14","38","1","4","13"
"8","0.8","100","8","37","6","2","16"
"10","1","100","7","43","0","0","13"
"9","0.9","100","9","43","3","0","12"
