"BehaviorSpace results (NetLogo 5.0RC6)"
"TransportationGraph.nlogo"
"Varying ERP"
"04/02/2012 11:59:44:074 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-29","29","-22","22"
"[run number]","var-urgent","mid-urgent","[step]","total-wait-count"
"2","0.1","0.5","1000","5135"
"1","0.1","0.2","1000","5117"
"3","0.1","1","1000","5149"
"5","0.2","0.5","1000","5165"
"4","0.2","0.2","1000","5169"
"6","0.2","1","1000","5385"
"7","0.30000000000000004","0.2","1000","5157"
"8","0.30000000000000004","0.5","1000","5233"
"10","0.4","0.2","1000","5233"
"9","0.30000000000000004","1","1000","5160"
"11","0.4","0.5","1000","5220"
"13","0.5","0.2","1000","5119"
"12","0.4","1","1000","5296"
"14","0.5","0.5","1000","5226"
"15","0.5","1","1000","5208"
"16","0.6","0.2","1000","5142"
"18","0.6","1","1000","5247"
"17","0.6","0.5","1000","5200"
"19","0.7000000000000001","0.2","1000","5201"
"20","0.7000000000000001","0.5","1000","5167"
"21","0.7000000000000001","1","1000","5208"
"23","0.8","0.5","1000","5236"
"22","0.8","0.2","1000","5180"
"24","0.8","1","1000","5233"
"26","0.9","0.5","1000","5105"
"25","0.9","0.2","1000","5159"
"27","0.9","1","1000","5247"
"28","1","0.2","1000","5272"
"29","1","0.5","1000","5219"
"30","1","1","1000","5201"
