BehaviorSpace results (NetLogo 5.0RC6),,,,,,,,,
TransportationGraph.nlogo,,,,,,,,,
experiment,,,,,,,,,
04/02/2012 11:46:41:433 +0800,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,
-29,29,-22,22,,,,,,
[run number],var-urgent,mid-urgent,[step],total-wait-count,,,mid-urgent,var-urgent,total-wait-count
2,0.1,0.5,1000,5195,,,0.2,0.1,5140
1,0.1,0.2,1000,5140,,,0.2,0.2,5067
3,0.1,1,1000,5323,,,0.2,0.3,5190
4,0.2,0.2,1000,5067,,,0.2,0.4,5089
5,0.2,0.5,1000,5255,,,0.2,0.5,5091
7,0.3,0.2,1000,5190,,,0.2,0.6,5132
6,0.2,1,1000,5250,,,0.2,0.7,5202
8,0.3,0.5,1000,5241,,,0.2,0.8,5212
9,0.3,1,1000,5229,,,0.2,0.9,5118
10,0.4,0.2,1000,5089,,,0.2,1,5131
11,0.4,0.5,1000,5206,,,0.5,0.1,5195
12,0.4,1,1000,5220,,,0.5,0.2,5255
14,0.5,0.5,1000,5214,,,0.5,0.3,5241
13,0.5,0.2,1000,5091,,,0.5,0.4,5206
15,0.5,1,1000,5200,,,0.5,0.5,5214
16,0.6,0.2,1000,5132,,,0.5,0.6,5215
17,0.6,0.5,1000,5215,,,0.5,0.7,5411
18,0.6,1,1000,5330,,,0.5,0.8,5159
19,0.7,0.2,1000,5202,,,0.5,0.9,5137
21,0.7,1,1000,5142,,,0.5,1,5204
20,0.7,0.5,1000,5411,,,1,0.1,5323
22,0.8,0.2,1000,5212,,,1,0.2,5250
23,0.8,0.5,1000,5159,,,1,0.3,5229
24,0.8,1,1000,5142,,,1,0.4,5220
25,0.9,0.2,1000,5118,,,1,0.5,5200
26,0.9,0.5,1000,5137,,,1,0.6,5330
28,1,0.2,1000,5131,,,1,0.7,5142
27,0.9,1,1000,5104,,,1,0.8,5142
29,1,0.5,1000,5204,,,1,0.9,5104
30,1,1,1000,5155,,,1,1,5155
